raw_category,expense_category_name_0,expense_category_name_1,expense_category_name_2
1100-100,Instruction,Regular Programs - Elementary / Secondary,Personnel Services - Salaries
1100-200,Instruction,Regular Programs - Elementary / Secondary,Personnel Services - Employee Benefits
1100-300,Instruction,Regular Programs - Elementary / Secondary,Purchased Professional and Technical Services
1100-400,Instruction,Regular Programs - Elementary / Secondary,Purchased Property Services
1100-500,Instruction,Regular Programs - Elementary / Secondary,Other Purchased Services
1100-600,Instruction,Regular Programs - Elementary / Secondary,Supplies
1100-700,Instruction,Regular Programs - Elementary / Secondary,Property
1100-800,Instruction,Regular Programs - Elementary / Secondary,Other Objects
1200-100,Instruction,Special Programs - Elementary / Secondary,Personnel Services - Salaries
1200-200,Instruction,Special Programs - Elementary / Secondary,Personnel Services - Employee Benefits
1200-300,Instruction,Special Programs - Elementary / Secondary,Purchased Professional and Technical Services
1200-400,Instruction,Special Programs - Elementary / Secondary,Purchased Property Services
1200-500,Instruction,Special Programs - Elementary / Secondary,Other Purchased Services
1200-600,Instruction,Special Programs - Elementary / Secondary,Supplies
1200-700,Instruction,Special Programs - Elementary / Secondary,Property
1200-800,Instruction,Special Programs - Elementary / Secondary,Other Objects
1300-100,Instruction,Vocational Education,Personnel Services - Salaries
1300-200,Instruction,Vocational Education,Personnel Services - Employee Benefits
1300-300,Instruction,Vocational Education,Purchased Professional and Technical Services
1300-400,Instruction,Vocational Education,Purchased Property Services
1300-500,Instruction,Vocational Education,Other Purchased Services
1300-600,Instruction,Vocational Education,Supplies
1300-700,Instruction,Vocational Education,Property
1300-800,Instruction,Vocational Education,Other Objects
1400-100,Instruction,Other Instructional Programs - Elementary / Secondary,Personnel Services - Salaries
1400-200,Instruction,Other Instructional Programs - Elementary / Secondary,Personnel Services - Employee Benefits
1400-300,Instruction,Other Instructional Programs - Elementary / Secondary,Purchased Professional and Technical Services
1400-400,Instruction,Other Instructional Programs - Elementary / Secondary,Purchased Property Services
1400-500,Instruction,Other Instructional Programs - Elementary / Secondary,Other Purchased Services
1400-600,Instruction,Other Instructional Programs - Elementary / Secondary,Supplies
1400-700,Instruction,Other Instructional Programs - Elementary / Secondary,Property
1400-800,Instruction,Other Instructional Programs - Elementary / Secondary,Other Objects
1500-100,Instruction,Nonpublic School Programs,Personnel Services - Salaries
1500-200,Instruction,Nonpublic School Programs,Personnel Services - Employee Benefits
1500-300,Instruction,Nonpublic School Programs,Purchased Professional and Technical Services
1500-400,Instruction,Nonpublic School Programs,Purchased Property Services
1500-500,Instruction,Nonpublic School Programs,Other Purchased Services
1500-600,Instruction,Nonpublic School Programs,Supplies
